from,to ,weight,year
SuCr,KySo,,
SuCr,HaDr,,
SuCr,ToMe,,
SuCr,CaLo,,
SuCr,BrSt,,
SuCr,DarBe,,
SuCr,LoTu,,
SuCr,DaBe,,
SuCr,RoMo,,
SuCr,SaRy,,
SuCr,ErUm,,
SuCr,ErEy,,
SuCr,GeRy,,
SuCr,MaWa,,
SuCr,NiNe,,
SuCr,FrOb,,
SuCr,BaOb,,
SuCr,KeHa,,
SuCr,EBT,,
SuCr,SLT,,
SuCr,NYT,,
SuCr,DaFa,,
SuCr,ChCh,,
SuCr,PeNo,,
SuCr,HiAl,,
SuCr,ArCu,,
SuCr,JiMo,,
SuCr,JaWa,,
SuCr,PaC,,
SuCr,ST,,
SuCr,ErLi,,
SuCr,ZaMi,,
SuCr,RoKu,,
SuCr,ReKi,,
SuCr,FrSu,,
SuCr,CaLe,,
SuCr,DiMa,,
SuCr,LiFa,,
SuCr,MaMc,,
SuCr,KaKi,,
SuCr,AdZy,,
SuCr,StLPD,,
SuCr,JoKa,,
SuCr,MeTw,,
SuCr,RoFa,,
SuCr,PrDe,,
SuCr,WaPo,,
SuCr,ArRe,,
SuCr,UsTo,,
SuCr,CiEn,,
SuCr,ClBa,,
SuCr,AnMa,,
SuCr,MaMo,,
SuCr,RaKaGh,,
SuCr,JoAr,,
SuCr,JeSa,,
SuCr,AnDo,,
SuCr,JaHa,,
SuCr,MiSl,,
SuCr,RyKe,,
SuCr,AsPr,,
SuCr,LAT,,
SuCr,LLA,,
SuCr,AnCo,,
SuCr,MiBr,,
SuCr,TCM,,
SuCr,KeAr,,
SuCr,MiLa,,
SuCr,CaFi,,
SuCr,LiGa,,
SuCr,AJR,,
SuCr,KaSc,,
SuCr,FaSt,,
SuCr,EmNu,,
SuCr,JoHa,,
SuCr,BrGl,,
SuCr,JaOh,,
SuCr,MaLi,,
SuCr,SePo,,
SuCr,TyHi,,
SuCr,DaEt,,
SuCr,JeRi,,
SuCr,GU,,
SuCr,BG,,
SuCr,"ChHa
",,
SuCr,ElSa,,
SuCr,WiHo,,
SuCr,DaPh,,
SuCr,JaSz,,
SuCr,AnMa,,
SuCr,StHe,,
SuCr,InSa,,
SuCr,OR,,
SuCr,KeSi,,
SuCr,JosHa,,
RuBu,ABR,,
RuBu,WSJ,,
RuBu,MaMi,,
RuBu,Maal,,
RuBu,NaEl,,
RuBu,RE,,
RuBu,WaLo,,
RuBu,KySo,,
RuBu,HaDr,,
RuBu,ToMe,,
RuBu,CaLo,,
RuBu,BrSt,,
RuBu,DarBe,,
RuBu,LoTu,,
RuBu,DaBe,,
RuBu,RoMo,,
RuBu,SaRy,,
RuBu,ErUm,,
RuBu,ErEy,,
RuBu,GeRy,,
RuBu,MaWa,,
RuBu,NiNe,,
RuBu,FrOb,,
RuBu,BaOb,,
RuBu,KeHa,,
RuBu,EBT,,
RuBu,SLT,,
RuBu,NYT,,
RuBu,DaFa,,
RuBu,ChCh,,
RuBu,PeNo,,
RuBu,HiAl,,
RuBu,ArCu,,
RuBu,JiMo,,
RuBu,JaWa,,
RuBu,PaC,,
RuBu,ST,,
RuBu,ErLi,,
RuBu,ZaMi,,
RuBu,RoKu,,
RuBu,ReKi,,
RuBu,FrSu,,
RuBu,CaLe,,
RuBu,DiMa,,
RuBu,LiFa,,
RuBu,MaMc,,
RuBu,KaKi,,
RuBu,AdZy,,
RuBu,StLPD,,
RuBu,JoKa,,
RuBu,MeTw,,
RuBu,RoFa,,
RuBu,PrDe,,
RuBu,WaPo,,
RuBu,ArRe,,
RuBu,UsTo,,
RuBu,CiEn,,
RuBu,ClBa,,
RuBu,AnMa,,
RuBu,MaMo,,
RuBu,RaKaGh,,
RuBu,JoAr,,
RuBu,JeSa,,
RuBu,AnDo,,
RuBu,JaHa,,
RuBu,MiSl,,
RuBu,RyKe,,
RuBu,AsPr,,
RuBu,LAT,,
RuBu,LLA,,
RuBu,AnCo,,
RuBu,MiBr,,
RuBu,TCM,,
RuBu,KeAr,,
RuBu,MiLa,,
RuBu,CaFi,,
RuBu,LiGa,,
RuBu,AJR,,
RuBu,KaSc,,
RuBu,FaSt,,
RuBu,EmNu,,
RuBu,JoHa,,
RuBu,BrGl,,
RuBu,JaOh,,
RuBu,MaLi,,
RuBu,SePo,,
RuBu,TyHi,,
RuBu,DaEt,,
RuBu,JeRi,,
RuBu,GU,,
RuBu,BG,,
RuBu,"ChHa
",,
RuBu,ElSa,,
RuBu,WiHo,,
RuBu,DaPh,,
RuBu,JaSz,,
RuBu,AnMa,,
RuBu,StHe,,
RuBu,InSa,,
RuBu,OR,,
RuBu,KeSi,,
RuBu,JosHa,,
ABR,WSJ,,
ABR,MaMi,,
ABR,Maal,,
ABR,NaEl,,
ABR,RE,,
ABR,WaLo,,
ABR,KySo,,
ABR,HaDr,,
ABR,ToMe,,
ABR,CaLo,,
ABR,BrSt,,
ABR,DarBe,,
ABR,LoTu,,
ABR,DaBe,,
ABR,RoMo,,
ABR,SaRy,,
ABR,ErUm,,
ABR,ErEy,,
ABR,GeRy,,
ABR,MaWa,,
ABR,NiNe,,
ABR,FrOb,,
ABR,BaOb,,
ABR,KeHa,,
ABR,EBT,,
ABR,SLT,,
ABR,NYT,,
ABR,DaFa,,
ABR,ChCh,,
ABR,PeNo,,
ABR,HiAl,,
ABR,ArCu,,
ABR,JiMo,,
ABR,JaWa,,
ABR,PaC,,
ABR,ST,,
ABR,ErLi,,
ABR,ZaMi,,
ABR,RoKu,,
ABR,ReKi,,
ABR,FrSu,,
ABR,CaLe,,
ABR,DiMa,,
ABR,LiFa,,
ABR,MaMc,,
ABR,KaKi,,
ABR,AdZy,,
ABR,StLPD,,
ABR,JoKa,,
ABR,MeTw,,
ABR,RoFa,,
ABR,PrDe,,
ABR,WaPo,,
ABR,ArRe,,
ABR,UsTo,,
ABR,CiEn,,
ABR,ClBa,,
ABR,AnMa,,
ABR,MaMo,,
ABR,RaKaGh,,
ABR,JoAr,,
ABR,JeSa,,
ABR,AnDo,,
ABR,JaHa,,
ABR,MiSl,,
ABR,RyKe,,
ABR,AsPr,,
ABR,LAT,,
ABR,LLA,,
ABR,AnCo,,
ABR,MiBr,,
ABR,TCM,,
ABR,KeAr,,
ABR,MiLa,,
ABR,CaFi,,
ABR,LiGa,,
ABR,AJR,,
ABR,KaSc,,
ABR,FaSt,,
ABR,EmNu,,
ABR,JoHa,,
ABR,BrGl,,
ABR,JaOh,,
ABR,MaLi,,
ABR,SePo,,
ABR,TyHi,,
ABR,DaEt,,
ABR,JeRi,,
ABR,GU,,
ABR,BG,,
ABR,"ChHa
",,
ABR,ElSa,,
ABR,WiHo,,
ABR,DaPh,,
ABR,JaSz,,
ABR,AnMa,,
ABR,StHe,,
ABR,InSa,,
ABR,OR,,
ABR,KeSi,,
ABR,JosHa,,
WSJ,MaMi,,
WSJ,Maal,,
WSJ,NaEl,,
WSJ,RE,,
WSJ,WaLo,,
WSJ,KySo,,
WSJ,HaDr,,
WSJ,ToMe,,
WSJ,CaLo,,
WSJ,BrSt,,
WSJ,DarBe,,
WSJ,LoTu,,
WSJ,DaBe,,
WSJ,RoMo,,
WSJ,SaRy,,
WSJ,ErUm,,
WSJ,ErEy,,
WSJ,GeRy,,
WSJ,MaWa,,
WSJ,NiNe,,
WSJ,FrOb,,
WSJ,BaOb,,
WSJ,KeHa,,
WSJ,EBT,,
WSJ,SLT,,
WSJ,NYT,,
WSJ,DaFa,,
WSJ,ChCh,,
WSJ,PeNo,,
WSJ,HiAl,,
WSJ,ArCu,,
WSJ,JiMo,,
WSJ,JaWa,,
WSJ,PaC,,
WSJ,ST,,
WSJ,ErLi,,
WSJ,ZaMi,,
WSJ,RoKu,,
WSJ,ReKi,,
WSJ,FrSu,,
WSJ,CaLe,,
WSJ,DiMa,,
WSJ,LiFa,,
WSJ,MaMc,,
WSJ,KaKi,,
WSJ,AdZy,,
WSJ,StLPD,,
WSJ,JoKa,,
WSJ,MeTw,,
WSJ,RoFa,,
WSJ,PrDe,,
WSJ,WaPo,,
WSJ,ArRe,,
WSJ,UsTo,,
WSJ,CiEn,,
WSJ,ClBa,,
WSJ,AnMa,,
WSJ,MaMo,,
WSJ,RaKaGh,,
WSJ,JoAr,,
WSJ,JeSa,,
WSJ,AnDo,,
WSJ,JaHa,,
WSJ,MiSl,,
WSJ,RyKe,,
WSJ,AsPr,,
WSJ,LAT,,
WSJ,LLA,,
WSJ,AnCo,,
WSJ,MiBr,,
WSJ,TCM,,
WSJ,KeAr,,
WSJ,MiLa,,
WSJ,CaFi,,
WSJ,LiGa,,
WSJ,AJR,,
WSJ,KaSc,,
WSJ,FaSt,,
WSJ,EmNu,,
WSJ,JoHa,,
WSJ,BrGl,,
WSJ,JaOh,,
WSJ,MaLi,,
WSJ,SePo,,
WSJ,TyHi,,
WSJ,DaEt,,
WSJ,JeRi,,
WSJ,GU,,
WSJ,BG,,
WSJ,"ChHa
",,
WSJ,ElSa,,
WSJ,WiHo,,
WSJ,DaPh,,
WSJ,JaSz,,
WSJ,AnMa,,
WSJ,StHe,,
WSJ,InSa,,
WSJ,OR,,
WSJ,KeSi,,
WSJ,JosHa,,
MaMi,Maal,,
MaMi,NaEl,,
MaMi,RE,,
MaMi,WaLo,,
MaMi,KySo,,
MaMi,HaDr,,
MaMi,ToMe,,
MaMi,CaLo,,
MaMi,BrSt,,
MaMi,DarBe,,
MaMi,LoTu,,
MaMi,DaBe,,
MaMi,RoMo,,
MaMi,SaRy,,
MaMi,ErUm,,
MaMi,ErEy,,
MaMi,GeRy,,
MaMi,MaWa,,
MaMi,NiNe,,
MaMi,FrOb,,
MaMi,BaOb,,
MaMi,KeHa,,
MaMi,EBT,,
MaMi,SLT,,
MaMi,NYT,,
MaMi,DaFa,,
MaMi,ChCh,,
MaMi,PeNo,,
MaMi,HiAl,,
MaMi,ArCu,,
MaMi,JiMo,,
MaMi,JaWa,,
MaMi,PaC,,
MaMi,ST,,
MaMi,ErLi,,
MaMi,ZaMi,,
MaMi,RoKu,,
MaMi,ReKi,,
MaMi,FrSu,,
MaMi,CaLe,,
MaMi,DiMa,,
MaMi,LiFa,,
MaMi,MaMc,,
MaMi,KaKi,,
MaMi,AdZy,,
MaMi,StLPD,,
MaMi,JoKa,,
MaMi,MeTw,,
MaMi,RoFa,,
MaMi,PrDe,,
MaMi,WaPo,,
MaMi,ArRe,,
MaMi,UsTo,,
MaMi,CiEn,,
MaMi,ClBa,,
MaMi,AnMa,,
MaMi,MaMo,,
MaMi,RaKaGh,,
MaMi,JoAr,,
MaMi,JeSa,,
MaMi,AnDo,,
MaMi,JaHa,,
MaMi,MiSl,,
MaMi,RyKe,,
MaMi,AsPr,,
MaMi,LAT,,
MaMi,LLA,,
MaMi,AnCo,,
MaMi,MiBr,,
MaMi,TCM,,
MaMi,KeAr,,
MaMi,MiLa,,
MaMi,CaFi,,
MaMi,LiGa,,
MaMi,AJR,,
MaMi,KaSc,,
MaMi,FaSt,,
MaMi,EmNu,,
MaMi,JoHa,,
MaMi,BrGl,,
MaMi,JaOh,,
MaMi,MaLi,,
MaMi,SePo,,
